Ligand,Receptor,Pathway Name,TP,TN,FP,FN,Precision,Recall,F1 Score,Distance,Receptor %
Slit1,Robo1,Pathway 1,28,24720,24575,2042,0.001138072592773239,0.01352657004830918,0.002099501368424999,25,0.5389172939923303
Slit1,Robo1,Pathway 1,0,24720,24575,2070,0.0,0.0,0,50,0.528323782339735
Slit1,Robo1,Pathway 1,0,24720,24575,2070,0.0,0.0,0,75,0.522233742595698
Slit1,Robo1,Pathway 1,0,24720,24575,2070,0.0,0.0,0,100,0.5264017755572784
Slit1,Robo2,Pathway 1,899,34252,15043,1171,0.056391920712583116,0.43429951690821256,0.09982234066178103,25,0.3353207686566558
Slit1,Robo2,Pathway 1,808,34252,15043,1262,0.050974701911551325,0.3903381642512077,0.09017353942302327,50,0.32275078655704686
Slit1,Robo2,Pathway 1,788,34252,15043,1282,0.049775756427262965,0.38067632850241545,0.08803977431428411,75,0.3162333898847085
Slit1,Robo2,Pathway 1,635,34252,15043,1435,0.0405026151294808,0.30676328502415456,0.07155735857561416,100,0.3210390718600091
Slit1,Robo3,Pathway 1,2070,48091,1204,0,0.6322541233964569,1.0,0.7747005988023952,25,0.06361602508465498
Slit1,Robo3,Pathway 1,2070,48091,1204,0,0.6322541233964569,1.0,0.7747005988023952,50,0.057622244084610086
Slit1,Robo3,Pathway 1,2070,48091,1204,0,0.6322541233964569,1.0,0.7747005988023952,75,0.05645652998520277
Slit1,Robo3,Pathway 1,2070,48091,1204,0,0.6322541233964569,1.0,0.7747005988023952,100,0.058274020656763216
Slit1,Robo4,Pathway 1,2070,47541,1754,0,0.5413179916317992,1.0,0.7024092297251442,25,0.032372192011388246
Slit1,Robo4,Pathway 1,2070,47541,1754,0,0.5413179916317992,1.0,0.7024092297251442,50,0.03268341668481321
Slit1,Robo4,Pathway 1,2070,47541,1754,0,0.5413179916317992,1.0,0.7024092297251442,75,0.03179573706249486
Slit1,Robo4,Pathway 1,2070,47541,1754,0,0.5413179916317992,1.0,0.7024092297251442,100,0.03170119837008945
Slit2,Robo1,Pathway 1,201,19307,18374,13483,0.01082099596231494,0.014688687518269511,0.012461638612480237,25,0.533803188291044
Slit2,Robo1,Pathway 1,0,19307,18374,13684,0.0,0.0,0,50,0.5335165170165206
Slit2,Robo1,Pathway 1,0,19307,18374,13684,0.0,0.0,0,75,0.5264115934650121
Slit2,Robo1,Pathway 1,0,19307,18374,13684,0.0,0.0,0,100,0.5267841854029546
Slit2,Robo2,Pathway 1,6872,26268,11413,6812,0.37582718074924804,0.5021923414206373,0.42991648159154183,25,0.31159550684707066
Slit2,Robo2,Pathway 1,7171,26268,11413,6513,0.3858695652173913,0.5240426775796551,0.4444651047477377,50,0.3142708924306818
Slit2,Robo2,Pathway 1,7777,26268,11413,5907,0.4052631578947368,0.5683279742765274,0.47313986737239155,75,0.307433173778438
Slit2,Robo2,Pathway 1,6259,26268,11413,7425,0.3541760977818017,0.45739549839228294,0.399221839520347,100,0.3073095797401845
Slit2,Robo3,Pathway 1,13684,36695,986,0,0.9327880027266531,1.0,0.965225365027862,25,0.0256371223407047
Slit2,Robo3,Pathway 1,13684,36695,986,0,0.9327880027266531,1.0,0.965225365027862,50,0.023497093349338593
Slit2,Robo3,Pathway 1,13684,36695,986,0,0.9327880027266531,1.0,0.965225365027862,75,0.02275536556792406
Slit2,Robo3,Pathway 1,13684,36695,986,0,0.9327880027266531,1.0,0.965225365027862,100,0.023141742601199486
Slit2,Robo4,Pathway 1,13684,36319,1362,0,0.9094776020204706,1.0,0.9525931082492168,25,0.03339214440840427
Slit2,Robo4,Pathway 1,13684,36319,1362,0,0.9094776020204706,1.0,0.9525931082492168,50,0.03336685187205471
Slit2,Robo4,Pathway 1,13684,36319,1362,0,0.9094776020204706,1.0,0.9525931082492168,75,0.03330494762825496
Slit2,Robo4,Pathway 1,13684,36319,1362,0,0.9094776020204706,1.0,0.9525931082492168,100,0.03332351622832153
Slit3,Robo1,Pathway 1,0,20721,18325,12319,0.0,0.0,0,25,0.6051527824315132
Slit3,Robo1,Pathway 1,0,20721,18325,12319,0.0,0.0,0,50,0.6013698548098733
Slit3,Robo1,Pathway 1,0,20721,18325,12319,0.0,0.0,0,75,0.5924675724365633
Slit3,Robo1,Pathway 1,0,20721,18325,12319,0.0,0.0,0,100,0.5889831256315866
Slit3,Robo2,Pathway 1,3430,27998,11048,8889,0.23691117557673713,0.2784316908840003,0.2559988058364742,25,0.38390777776465
Slit3,Robo2,Pathway 1,2686,27998,11048,9633,0.19557303043541577,0.2180371783423979,0.20619506390818715,50,0.3872721520533339
Slit3,Robo2,Pathway 1,1485,27998,11048,10834,0.11848719380834596,0.12054549882295641,0.11950748430709801,75,0.3792854644363667
Slit3,Robo2,Pathway 1,493,27998,11048,11826,0.04271726886751581,0.04001948210081987,0.041324392288348694,100,0.3747530554878696
Slit3,Robo3,Pathway 1,12319,37897,1149,0,0.9146866646866647,1.0,0.9554426649086749,25,0.014981187402944568
Slit3,Robo3,Pathway 1,12319,37897,1149,0,0.9146866646866647,1.0,0.9554426649086749,50,0.014214168549827029
Slit3,Robo3,Pathway 1,12319,37897,1149,0,0.9146866646866647,1.0,0.9554426649086749,75,0.013537894818216835
Slit3,Robo3,Pathway 1,12319,37897,1149,0,0.9146866646866647,1.0,0.9554426649086749,100,0.013318796007071278
Slit3,Robo4,Pathway 1,12319,37741,1305,0,0.9042131532589548,1.0,0.949697413560498,25,0.04150094409992985
Slit3,Robo4,Pathway 1,12319,37741,1305,0,0.9042131532589548,1.0,0.949697413560498,50,0.04174769178848437
Slit3,Robo4,Pathway 1,12319,37741,1305,0,0.9042131532589548,1.0,0.949697413560498,75,0.04169007711394602
Slit3,Robo4,Pathway 1,12319,37741,1305,0,0.9042131532589548,1.0,0.949697413560498,100,0.04153312305675453
Ntn1,Flrt2,Pathway 2,2824,30042,15696,2803,0.15248380129589634,0.5018660031988627,0.2339006915972999,25,0.31856851722464596
Ntn1,Flrt2,Pathway 2,2396,30042,15696,3231,0.13243422507185496,0.4258041585214146,0.20203212614359792,50,0.322465950475681
Ntn1,Flrt2,Pathway 2,2247,30042,15696,3380,0.12522989466644374,0.3993246845566021,0.1906661009758167,75,0.31866980565043646
Ntn1,Flrt2,Pathway 2,2622,30042,15696,3005,0.14313789715034392,0.465967655944553,0.2190018793067446,100,0.3179274710732674
Ntn1,Dcc,Pathway 2,3364,34480,11258,2263,0.2300642866912871,0.597831881997512,0.33226332164551337,25,0.30157749196214073
Ntn1,Dcc,Pathway 2,3325,34480,11258,2302,0.22800521154769252,0.5909010129731651,0.3290450272142504,50,0.30249378333131893
Ntn1,Dcc,Pathway 2,3032,34480,11258,2595,0.21217634709587124,0.5388306379953794,0.30446352362303564,75,0.3001418072810328
Ntn1,Dcc,Pathway 2,2882,34480,11258,2745,0.20381895332390382,0.512173449440199,0.2915971062882582,100,0.29276992700624455
Ntn1,Dscam,Pathway 2,5625,43005,2733,2,0.673007896625987,0.9996445708192643,0.8044333214158027,25,0.05110638671969709
Ntn1,Dscam,Pathway 2,5627,43005,2733,0,0.6730861244019138,1.0,0.8046042753985845,50,0.050781349744606234
Ntn1,Dscam,Pathway 2,5627,43005,2733,0,0.6730861244019138,1.0,0.8046042753985845,75,0.05046039130294917
Ntn1,Dscam,Pathway 2,5627,43005,2733,0,0.6730861244019138,1.0,0.8046042753985845,100,0.04989814360046452
Ntn1,Draxin,Pathway 2,5627,43227,2511,0,0.691447530105677,1.0,0.8175808209226298,25,0.04707523871390589
Ntn1,Draxin,Pathway 2,5627,43227,2511,0,0.691447530105677,1.0,0.8175808209226298,50,0.04622732860675928
Ntn1,Draxin,Pathway 2,5627,43227,2511,0,0.691447530105677,1.0,0.8175808209226298,75,0.0470686496176232
Ntn1,Draxin,Pathway 2,5627,43227,2511,0,0.691447530105677,1.0,0.8175808209226298,100,0.046374501432252184
Ntn1,Neo1,Pathway 2,81,27111,18627,5546,0.0043296985246953175,0.014394881819797405,0.0066570782823094305,25,0.45495083623014615
Ntn1,Neo1,Pathway 2,0,27111,18627,5627,0.0,0.0,0,50,0.45527376669054764
Ntn1,Neo1,Pathway 2,0,27111,18627,5627,0.0,0.0,0,75,0.45601501766216845
Ntn1,Neo1,Pathway 2,0,27111,18627,5627,0.0,0.0,0,100,0.45371054971004143
Ntn1,Unc5a,Pathway 2,5627,45270,468,0,0.9232157506152584,1.0,0.9600750725132231,25,0.01218822685334685
Ntn1,Unc5a,Pathway 2,5627,45270,468,0,0.9232157506152584,1.0,0.9600750725132231,50,0.012933808064215988
Ntn1,Unc5a,Pathway 2,5627,45270,468,0,0.9232157506152584,1.0,0.9600750725132231,75,0.01303029971179938
Ntn1,Unc5a,Pathway 2,5627,45270,468,0,0.9232157506152584,1.0,0.9600750725132231,100,0.012880321578707795
Ntn1,Unc5b,Pathway 2,5627,41472,4266,0,0.5687860103103204,1.0,0.7251288659793814,25,0.07925501211045365
Ntn1,Unc5b,Pathway 2,5627,41472,4266,0,0.5687860103103204,1.0,0.7251288659793814,50,0.07895548710845139
Ntn1,Unc5b,Pathway 2,5627,41472,4266,0,0.5687860103103204,1.0,0.7251288659793814,75,0.07927282557293679
Ntn1,Unc5b,Pathway 2,5627,41472,4266,0,0.5687860103103204,1.0,0.7251288659793814,100,0.07963610605764063
Ntn1,Unc5c,Pathway 2,3421,30803,14935,2206,0.1863695794290695,0.6079616136484806,0.2852854104991035,25,0.2544808078727777
Ntn1,Unc5c,Pathway 2,3224,30803,14935,2403,0.17754281623437415,0.5729518393460103,0.27108383082485493,50,0.252505496146464
Ntn1,Unc5c,Pathway 2,3060,30803,14935,2567,0.1700472353431509,0.5438066465256798,0.25908051816103633,75,0.25145333118492147
Ntn1,Unc5c,Pathway 2,3130,30803,14935,2497,0.17326321616385276,0.5562466678514306,0.2642242107040351,100,0.25212347030696497
Ntn4,Flrt2,Pathway 2,1447,32171,16857,890,0.07905375874125874,0.6191698759092854,0.14020638534954702,25,0.2725309985582098
Ntn4,Flrt2,Pathway 2,1420,32171,16857,917,0.07769327570170159,0.6076166024818143,0.1377704472688464,50,0.27283479195591126
Ntn4,Flrt2,Pathway 2,1451,32171,16857,886,0.0792549705046974,0.6208814719726145,0.14056672317752483,75,0.26880222400406617
Ntn4,Flrt2,Pathway 2,1527,32171,16857,810,0.08306135770234988,0.6534017971758665,0.1473867091356595,100,0.2683580928333911
Ntn4,Dcc,Pathway 2,938,37017,12011,1399,0.07243802610240173,0.40136927685066326,0.12272667800601858,25,0.4043410836007245
Ntn4,Dcc,Pathway 2,829,37017,12011,1508,0.06456386292834891,0.3547282841249465,0.10924425116953285,50,0.3987192539701257
Ntn4,Dcc,Pathway 2,870,37017,12011,1467,0.06754133995807779,0.3722721437740693,0.11433828361151267,75,0.3959506541484436
Ntn4,Dcc,Pathway 2,825,37017,12011,1512,0.06427235899033967,0.35301668806161746,0.10874579845778687,100,0.3925608618372284
Ntn4,Dscam,Pathway 2,2219,46220,2808,118,0.4414163517008156,0.9495079161317929,0.6026615969581749,25,0.08961277547229891
Ntn4,Dscam,Pathway 2,2337,46220,2808,0,0.4542274052478134,1.0,0.6246992782678428,50,0.08908601509806077
Ntn4,Dscam,Pathway 2,2337,46220,2808,0,0.4542274052478134,1.0,0.6246992782678428,75,0.08833744470652055
Ntn4,Dscam,Pathway 2,2337,46220,2808,0,0.4542274052478134,1.0,0.6246992782678428,100,0.08825959109085425
Ntn4,Draxin,Pathway 2,2335,46468,2560,2,0.4770173646578141,0.9991442019683354,0.6457411504424779,25,0.09483986384256966
Ntn4,Draxin,Pathway 2,2337,46468,2560,0,0.47723095772922197,1.0,0.6461155653856787,50,0.09290741628743694
Ntn4,Draxin,Pathway 2,2337,46468,2560,0,0.47723095772922197,1.0,0.6461155653856787,75,0.09256305771741281
Ntn4,Draxin,Pathway 2,2337,46468,2560,0,0.47723095772922197,1.0,0.6461155653856787,100,0.09202203687405133
Ntn4,Neo1,Pathway 2,122,28825,20203,2215,0.006002460024600246,0.05220367993153616,0.010766922601712118,25,0.41726172190106114
Ntn4,Neo1,Pathway 2,3,28825,20203,2334,0.00014847075126200139,0.0012836970474967907,0.00026615800913809166,50,0.4219114075410547
Ntn4,Neo1,Pathway 2,0,28825,20203,2337,0.0,0.0,0,75,0.420384648733693
Ntn4,Neo1,Pathway 2,0,28825,20203,2337,0.0,0.0,0,100,0.4171633313865591
Ntn4,Unc5a,Pathway 2,2337,48531,497,0,0.8246294989414256,1.0,0.9038870624637401,25,0.016207264578072565
Ntn4,Unc5a,Pathway 2,2337,48531,497,0,0.8246294989414256,1.0,0.9038870624637401,50,0.017100911659369562
Ntn4,Unc5a,Pathway 2,2337,48531,497,0,0.8246294989414256,1.0,0.9038870624637401,75,0.01732112123788538
Ntn4,Unc5a,Pathway 2,2337,48531,497,0,0.8246294989414256,1.0,0.9038870624637401,100,0.017082280919310144
Ntn4,Unc5b,Pathway 2,2317,44545,4483,20,0.3407352941176471,0.9914420196833548,0.5071686549195579,25,0.09801644319239793
Ntn4,Unc5b,Pathway 2,2337,44545,4483,0,0.34266862170087975,1.0,0.5104291798624003,50,0.09788620394787004
Ntn4,Unc5b,Pathway 2,2337,44545,4483,0,0.34266862170087975,1.0,0.5104291798624003,75,0.09917509917464638
Ntn4,Unc5b,Pathway 2,2337,44545,4483,0,0.34266862170087975,1.0,0.5104291798624003,100,0.09861561238168749
Ntn4,Unc5c,Pathway 2,1645,33225,15803,692,0.0942801467216873,0.7038938810440736,0.1662875916098054,25,0.23994723759720088
Ntn4,Unc5c,Pathway 2,1755,33225,15803,582,0.09995443672400045,0.7509627727856226,0.1764262377481779,50,0.24053666996147827
Ntn4,Unc5c,Pathway 2,1810,33225,15803,527,0.10276500312269346,0.7744972186563971,0.18145363408521303,75,0.2386767543402958
Ntn4,Unc5c,Pathway 2,1786,33225,15803,551,0.10154073568707715,0.7642276422764228,0.17926327411422263,100,0.23774365427974525
Cxcl12,Cxcr4,Pathway 3,16847,33782,736,0,0.95814138656657,1.0,0.978623293639268,25,0.015591740522726579
Cxcl12,Cxcr4,Pathway 3,16847,33782,736,0,0.95814138656657,1.0,0.978623293639268,50,0.01567780124727756
Cxcl12,Cxcr4,Pathway 3,16847,33782,736,0,0.95814138656657,1.0,0.978623293639268,75,0.015471995906350792
Cxcl12,Cxcr4,Pathway 3,16847,33782,736,0,0.95814138656657,1.0,0.978623293639268,100,0.015230030811609755
Cxcl12,Ackr3,Pathway 3,16677,29098,5420,170,0.7547178350002263,0.9899091826437941,0.8564605587510271,25,0.17175934381153696
Cxcl12,Ackr3,Pathway 3,16847,29098,5420,0,0.7565904702025419,1.0,0.8614306897785959,50,0.17287862594976244
Cxcl12,Ackr3,Pathway 3,16847,29098,5420,0,0.7565904702025419,1.0,0.8614306897785959,75,0.17460820950317962
Cxcl12,Ackr3,Pathway 3,16847,29098,5420,0,0.7565904702025419,1.0,0.8614306897785959,100,0.17448575670387814
