receptor,ligand,Pathway Name,TP,TN,FP,FN,Precision,Recall,F1 Score,Distance,Ligand %
Robo1,Slit1,Pathway 1,25688,24720,957,0,0.9640833176956277,1.0,0.9817132593201231,25,0.04295661469864412
Robo1,Slit1,Pathway 1,25688,24720,957,0,0.9640833176956277,1.0,0.9817132593201231,50,0.04296929448464576
Robo1,Slit1,Pathway 1,25688,24720,957,0,0.9640833176956277,1.0,0.9817132593201231,75,0.04264113938889707
Robo1,Slit1,Pathway 1,25688,24720,957,0,0.9640833176956277,1.0,0.9817132593201231,100,0.0418026800060259
Robo1,Slit2,Pathway 1,14589,19307,6370,11099,0.6960732859392147,0.5679305512301464,0.6255064634381632,25,0.2884412319731678
Robo1,Slit2,Pathway 1,14425,19307,6370,11263,0.6936763645106997,0.5615462472749922,0.6206570143923585,50,0.29230496701033987
Robo1,Slit2,Pathway 1,15765,19307,6370,9923,0.7122204653264061,0.61371068203052,0.6593061915814565,75,0.2925364192215794
Robo1,Slit2,Pathway 1,16004,19307,6370,9684,0.7152945383033879,0.6230146371846776,0.6659731180558445,100,0.2904538169553289
Robo1,Slit3,Pathway 1,12427,20721,4956,13261,0.7148938618190186,0.483766739333541,0.577047201133013,25,0.29298285724478473
Robo1,Slit3,Pathway 1,10046,20721,4956,15642,0.6696440474603387,0.39107754593584554,0.49378225608257564,50,0.29727216848466925
Robo1,Slit3,Pathway 1,11743,20721,4956,13945,0.7032157614228397,0.4571395203986297,0.5540849788850355,75,0.2943062075996146
Robo1,Slit3,Pathway 1,14652,20721,4956,11036,0.7472460220318238,0.5703830582373093,0.6469445425644649,100,0.29280839695229205
Robo2,Slit1,Pathway 1,15737,34252,1376,0,0.9195932916496231,1.0,0.9581126331811264,25,0.04417072077762381
Robo2,Slit1,Pathway 1,15737,34252,1376,0,0.9195932916496231,1.0,0.9581126331811264,50,0.04289927917568005
Robo2,Slit1,Pathway 1,15737,34252,1376,0,0.9195932916496231,1.0,0.9581126331811264,75,0.04221388618309252
Robo2,Slit1,Pathway 1,15737,34252,1376,0,0.9195932916496231,1.0,0.9581126331811264,100,0.04132715409233743
Robo2,Slit2,Pathway 1,10022,26268,9360,5715,0.5170777009596533,0.6368431085975726,0.5707451806714314,25,0.2758452723779412
Robo2,Slit2,Pathway 1,11326,26268,9360,4411,0.5475200618775984,0.7197051534599987,0.6219147242127228,50,0.27946720637837785
Robo2,Slit2,Pathway 1,11493,26268,9360,4244,0.5511437203280104,0.7303170871195273,0.628204427439191,75,0.27972324226663425
Robo2,Slit2,Pathway 1,14113,26268,9360,1624,0.6012439824479189,0.8968037109995551,0.7198673807702116,100,0.27758186619995306
Robo2,Slit3,Pathway 1,7847,27998,7630,7890,0.5070104025327906,0.49863379297197685,0.5027872108669187,25,0.30325160902627557
Robo2,Slit3,Pathway 1,6448,27998,7630,9289,0.4580196050575366,0.4097350193810764,0.43253395941640116,50,0.31106172877139143
Robo2,Slit3,Pathway 1,5953,27998,7630,9784,0.43826842376500036,0.3782804854800788,0.40607094133697136,75,0.3089749004227131
Robo2,Slit3,Pathway 1,6812,27998,7630,8925,0.4716798227392328,0.4328652220880727,0.4514397428675569,100,0.3066263653166669
Robo3,Slit1,Pathway 1,1305,48091,1940,29,0.40215716486902925,0.9782608695652174,0.5699934483511683,25,0.10002142275997349
Robo3,Slit1,Pathway 1,1334,48091,1940,0,0.4074526572999389,1.0,0.5789930555555556,50,0.09511499332662643
Robo3,Slit1,Pathway 1,1334,48091,1940,0,0.4074526572999389,1.0,0.5789930555555556,75,0.09367741088366333
Robo3,Slit1,Pathway 1,1334,48091,1940,0,0.4074526572999389,1.0,0.5789930555555556,100,0.09427967268373161
Robo3,Slit2,Pathway 1,937,36695,13336,397,0.0656484271001191,0.7023988005997002,0.12007432562311783,25,0.2677611681329315
Robo3,Slit2,Pathway 1,983,36695,13336,351,0.06865004539423145,0.7368815592203898,0.12559892672331183,50,0.2591573953597909
Robo3,Slit2,Pathway 1,1002,36695,13336,332,0.06988422374110755,0.7511244377811095,0.12787136294027562,75,0.25841520996622114
Robo3,Slit2,Pathway 1,1089,36695,13336,245,0.07549393414211439,0.8163418290854573,0.13820673900628214,100,0.2581796502896814
Robo3,Slit3,Pathway 1,1210,37897,12134,124,0.09067745803357315,0.9070464767616192,0.16487259844665483,25,0.13920419245837692
Robo3,Slit3,Pathway 1,1240,37897,12134,94,0.0927172125018693,0.9295352323838081,0.1686157193364156,50,0.13778202103886208
Robo3,Slit3,Pathway 1,1285,37897,12134,49,0.09575974364706759,0.9632683658170914,0.174201857249373,75,0.13515990207267076
Robo3,Slit3,Pathway 1,1305,37897,12134,29,0.09710543939281197,0.9782608695652174,0.17667366140932783,100,0.13667666814638793
Robo4,Slit1,Pathway 1,1821,47541,2003,0,0.47620292887029286,1.0,0.6451727192205491,25,0.037183964644888594
Robo4,Slit1,Pathway 1,1821,47541,2003,0,0.47620292887029286,1.0,0.6451727192205491,50,0.037421151259158805
Robo4,Slit1,Pathway 1,1821,47541,2003,0,0.47620292887029286,1.0,0.6451727192205491,75,0.03706099725083447
Robo4,Slit1,Pathway 1,1821,47541,2003,0,0.47620292887029286,1.0,0.6451727192205491,100,0.03634937938233267
Robo4,Slit2,Pathway 1,1294,36319,13225,527,0.08912459535780701,0.7105985722130698,0.15838433292533657,25,0.2571984150967731
Robo4,Slit2,Pathway 1,1496,36319,13225,325,0.1016235310101216,0.8215266337177375,0.18087292951275544,50,0.25800121120634467
Robo4,Slit2,Pathway 1,1734,36319,13225,87,0.11591683936091984,0.9522240527182867,0.20667461263408818,75,0.25821446832765466
Robo4,Slit2,Pathway 1,1803,36319,13225,18,0.11997604471652915,0.9901153212520593,0.21401863612083802,100,0.25686932370998433
Robo4,Slit3,Pathway 1,1032,37741,11803,789,0.08040514218932607,0.5667215815485996,0.14082969432314413,25,0.286604906196153
Robo4,Slit3,Pathway 1,905,37741,11803,916,0.07121498268807051,0.49697968149368477,0.12457842934820018,50,0.29068586373360406
Robo4,Slit3,Pathway 1,955,37741,11803,866,0.07485499294560276,0.5244371224601867,0.13101035736333083,75,0.2889847728729569
Robo4,Slit3,Pathway 1,986,37741,11803,835,0.07709750566893424,0.5414607358594179,0.13497604380561257,100,0.288651699762784
Flrt2,Ntn1,Pathway 2,17365,30042,3820,138,0.8196837384942176,0.9921156373193167,0.8976943755169563,25,0.10366678050484204
Flrt2,Ntn1,Pathway 2,17503,30042,3820,0,0.8208507245697134,1.0,0.901612321640138,50,0.10513773127389797
Flrt2,Ntn1,Pathway 2,17503,30042,3820,0,0.8208507245697134,1.0,0.901612321640138,75,0.10615187017228248
Flrt2,Ntn1,Pathway 2,17503,30042,3820,0,0.8208507245697134,1.0,0.901612321640138,100,0.10488628136618511
Flrt2,Ntn4,Pathway 2,17503,32171,1691,0,0.9118995519433156,1.0,0.953919938959588,25,0.036729301933751166
Flrt2,Ntn4,Pathway 2,17503,32171,1691,0,0.9118995519433156,1.0,0.953919938959588,50,0.03654911881245115
Flrt2,Ntn4,Pathway 2,17503,32171,1691,0,0.9118995519433156,1.0,0.953919938959588,75,0.03609038868143271
Flrt2,Ntn4,Pathway 2,17503,32171,1691,0,0.9118995519433156,1.0,0.953919938959588,100,0.035600294400080175
Dcc,Ntn1,Pathway 2,12201,34480,3949,735,0.7554798761609907,0.9431818181818182,0.8389603245547687,25,0.13291972310491562
Dcc,Ntn1,Pathway 2,12936,34480,3949,0,0.7661237785016287,1.0,0.867576540022132,50,0.13899625138361899
Dcc,Ntn1,Pathway 2,12936,34480,3949,0,0.7661237785016287,1.0,0.867576540022132,75,0.1423892715511698
Dcc,Ntn1,Pathway 2,12936,34480,3949,0,0.7661237785016287,1.0,0.867576540022132,100,0.13917669473916514
Dcc,Ntn4,Pathway 2,12936,37017,1412,0,0.9015890716476164,1.0,0.9482480574695793,25,0.07323367746506126
Dcc,Ntn4,Pathway 2,12936,37017,1412,0,0.9015890716476164,1.0,0.9482480574695793,50,0.07295890478619106
Dcc,Ntn4,Pathway 2,12936,37017,1412,0,0.9015890716476164,1.0,0.9482480574695793,75,0.07298156191264533
Dcc,Ntn4,Pathway 2,12936,37017,1412,0,0.9015890716476164,1.0,0.9482480574695793,100,0.07287583961290375
Dscam,Ntn1,Pathway 2,3004,43005,5340,16,0.36001917545541706,0.9947019867549669,0.5286870820133757,25,0.09434055924047469
Dscam,Ntn1,Pathway 2,3020,43005,5340,0,0.361244019138756,1.0,0.5307557117750439,50,0.09923801246970158
Dscam,Ntn1,Pathway 2,3020,43005,5340,0,0.361244019138756,1.0,0.5307557117750439,75,0.10323864126682022
Dscam,Ntn1,Pathway 2,3020,43005,5340,0,0.361244019138756,1.0,0.5307557117750439,100,0.10203913731405129
Dscam,Ntn4,Pathway 2,3020,46220,2125,0,0.586977648202138,1.0,0.7397428046540111,25,0.07174333736178633
Dscam,Ntn4,Pathway 2,3020,46220,2125,0,0.586977648202138,1.0,0.7397428046540111,50,0.07170286837689804
Dscam,Ntn4,Pathway 2,3020,46220,2125,0,0.586977648202138,1.0,0.7397428046540111,75,0.07263613721282934
Dscam,Ntn4,Pathway 2,3020,46220,2125,0,0.586977648202138,1.0,0.7397428046540111,100,0.07202735996956325
Draxin,Ntn1,Pathway 2,2743,43227,5358,37,0.3386001728181706,0.9866906474820144,0.5041816009557946,25,0.09544844906497212
Draxin,Ntn1,Pathway 2,2780,43227,5358,0,0.34160727451462275,1.0,0.5092507785308664,50,0.10171241823519503
Draxin,Ntn1,Pathway 2,2780,43227,5358,0,0.34160727451462275,1.0,0.5092507785308664,75,0.10725424841823603
Draxin,Ntn1,Pathway 2,2780,43227,5358,0,0.34160727451462275,1.0,0.5092507785308664,100,0.1058838397491634
Draxin,Ntn4,Pathway 2,2780,46468,2117,0,0.567694506840923,1.0,0.7242412400677348,25,0.08109528079797433
Draxin,Ntn4,Pathway 2,2780,46468,2117,0,0.567694506840923,1.0,0.7242412400677348,50,0.0824891103833037
Draxin,Ntn4,Pathway 2,2780,46468,2117,0,0.567694506840923,1.0,0.7242412400677348,75,0.08331557851547966
Draxin,Ntn4,Pathway 2,2780,46468,2117,0,0.567694506840923,1.0,0.7242412400677348,100,0.08284817229100071
Neo1,Ntn1,Pathway 2,20818,27111,3080,356,0.8711189220855302,0.983186927363748,0.923766418175364,25,0.12141970935368593
Neo1,Ntn1,Pathway 2,21174,27111,3080,0,0.8730106374206317,1.0,0.9322004050365413,50,0.12346704856497305
Neo1,Ntn1,Pathway 2,21174,27111,3080,0,0.8730106374206317,1.0,0.9322004050365413,75,0.12507961078430005
Neo1,Ntn1,Pathway 2,21174,27111,3080,0,0.8730106374206317,1.0,0.9322004050365413,100,0.12371162572117668
Neo1,Ntn4,Pathway 2,21174,28825,1366,0,0.939396628216504,1.0,0.9687514297479068,25,0.04620321665017648
Neo1,Ntn4,Pathway 2,21174,28825,1366,0,0.939396628216504,1.0,0.9687514297479068,50,0.04645908919137055
Neo1,Ntn4,Pathway 2,21174,28825,1366,0,0.939396628216504,1.0,0.9687514297479068,75,0.04629779642736855
Neo1,Ntn4,Pathway 2,21174,28825,1366,0,0.939396628216504,1.0,0.9687514297479068,100,0.04537382608076856
Unc5a,Ntn1,Pathway 2,494,45270,5560,41,0.081598942847704,0.9233644859813084,0.149946881165579,25,0.12840853630706203
Unc5a,Ntn1,Pathway 2,535,45270,5560,0,0.08777686628383921,1.0,0.16138763197586728,50,0.13406950001563833
Unc5a,Ntn1,Pathway 2,535,45270,5560,0,0.08777686628383921,1.0,0.16138763197586728,75,0.1384721013216944
Unc5a,Ntn1,Pathway 2,535,45270,5560,0,0.08777686628383921,1.0,0.16138763197586728,100,0.13636999492696497
Unc5a,Ntn4,Pathway 2,528,48531,2299,7,0.1867704280155642,0.9869158878504672,0.314098750743605,25,0.07135555490810548
Unc5a,Ntn4,Pathway 2,535,48531,2299,0,0.18877911079745943,1.0,0.3176016622143069,50,0.07212778560827741
Unc5a,Ntn4,Pathway 2,535,48531,2299,0,0.18877911079745943,1.0,0.3176016622143069,75,0.07089038276939025
Unc5a,Ntn4,Pathway 2,535,48531,2299,0,0.18877911079745943,1.0,0.3176016622143069,100,0.06969619550281103
Unc5b,Ntn1,Pathway 2,4699,41472,5184,10,0.4754629161185875,0.9978764068804417,0.6440515350877194,25,0.09452045021091657
Unc5b,Ntn1,Pathway 2,4709,41472,5184,0,0.4759931264530476,1.0,0.6449801397068895,50,0.09456277195072602
Unc5b,Ntn1,Pathway 2,4709,41472,5184,0,0.4759931264530476,1.0,0.6449801397068895,75,0.09576672445396693
Unc5b,Ntn1,Pathway 2,4709,41472,5184,0,0.4759931264530476,1.0,0.6449801397068895,100,0.09454390782129994
Unc5b,Ntn4,Pathway 2,4709,44545,2111,0,0.6904692082111437,1.0,0.8168965218145545,25,0.04927035156220181
Unc5b,Ntn4,Pathway 2,4709,44545,2111,0,0.6904692082111437,1.0,0.8168965218145545,50,0.048678710737442406
Unc5b,Ntn4,Pathway 2,4709,44545,2111,0,0.6904692082111437,1.0,0.8168965218145545,75,0.048021265045796985
Unc5b,Ntn4,Pathway 2,4709,44545,2111,0,0.6904692082111437,1.0,0.8168965218145545,100,0.0472420158124931
Unc5c,Ntn1,Pathway 2,16366,30803,4196,0,0.7959342476412801,1.0,0.8863734835355286,25,0.0874175872927046
Unc5c,Ntn1,Pathway 2,16366,30803,4196,0,0.7959342476412801,1.0,0.8863734835355286,50,0.08778909021057991
Unc5c,Ntn1,Pathway 2,16366,30803,4196,0,0.7959342476412801,1.0,0.8863734835355286,75,0.08890603614165395
Unc5c,Ntn1,Pathway 2,16366,30803,4196,0,0.7959342476412801,1.0,0.8863734835355286,100,0.08907339464637978
Unc5c,Ntn4,Pathway 2,16366,33225,1774,0,0.9022050716648291,1.0,0.9485886512490581,25,0.034418034317799155
Unc5c,Ntn4,Pathway 2,16366,33225,1774,0,0.9022050716648291,1.0,0.9485886512490581,50,0.034323944292398524
Unc5c,Ntn4,Pathway 2,16366,33225,1774,0,0.9022050716648291,1.0,0.9485886512490581,75,0.033929029213797465
Unc5c,Ntn4,Pathway 2,16366,33225,1774,0,0.9022050716648291,1.0,0.9485886512490581,100,0.03332587454137788
Cxcr4,Cxcl12,Pathway 3,700,33782,16587,296,0.040492855903279924,0.7028112449799196,0.0765738664332987,25,0.26163078970450804
Cxcr4,Cxcl12,Pathway 3,666,33782,16587,330,0.038601982263954095,0.6686746987951807,0.0729903008384021,50,0.2614312359605092
Cxcr4,Cxcl12,Pathway 3,724,33782,16587,272,0.04182311824851251,0.7269076305220884,0.07909542797836894,75,0.25667425828496593
Cxcr4,Cxcl12,Pathway 3,770,33782,16587,226,0.04436250504119375,0.7730923694779116,0.08390998746798888,100,0.25331209364167884
Ackr3,Cxcl12,Pathway 3,3244,29098,13952,5071,0.1886485229123052,0.39013830426939267,0.2543216651640469,25,0.35050088548812053
Ackr3,Cxcl12,Pathway 3,1973,29098,13952,6342,0.12389324960753532,0.23728202044497895,0.16278877887788779,50,0.35524180387625265
Ackr3,Cxcl12,Pathway 3,1601,29098,13952,6714,0.10293833987012152,0.1925435959110042,0.1341545165074577,75,0.35547886136953305
Ackr3,Cxcl12,Pathway 3,1942,29098,13952,6373,0.12218447212784699,0.23355381840048106,0.16043620141269774,100,0.35193861206400867
